Date,Open,High,Low,Close,Adj Close,Volume,Day
2023-03-28,4690,4740,4610,4665,4655.220215,690500,124
2023-03-29,4690,4780,4620,4770,4760,918700,125
2023-03-30,4765,4795,4655,4715,4715,1016300,126
2023-03-31,4710,4765,4700,4735,4735,757200,127
2023-04-03,4780,4865,4760,4840,4840,679500,128
2023-04-04,4790,4815,4715,4755,4755,1037000,129
2023-04-05,4785,4800,4705,4735,4735,843300,130
2023-04-06,4680,4705,4595,4630,4630,1035500,131
2023-04-07,4635,4670,4615,4630,4630,415300,132
2023-04-10,4670,4745,4640,4725,4725,453900,133
2023-04-11,4770,4785,4675,4685,4685,491400,134
2023-04-12,4685,4710,4670,4690,4690,642700,135
2023-04-13,4710,4760,4695,4740,4740,491500,136
2023-04-14,4755,4815,4735,4790,4790,583700,137
2023-04-17,4770,4780,4685,4715,4715,572300,138
2023-04-18,4645,5320,4645,5140,5140,4406700,139
2023-04-19,5040,5120,4910,5080,5080,3021700,140
2023-04-20,4935,4970,4870,4950,4950,1443800,141
2023-04-21,5010,5020,4940,4940,4940,757600,142
2023-04-24,4920,4965,4905,4910,4910,634800,143
2023-04-25,4925,5040,4910,4995,4995,843100,144
2023-04-26,4980,5010,4930,5000,5000,668500,145
2023-04-27,5000,5060,4980,5060,5060,640900,146
2023-04-28,5060,5130,5060,5110,5110,932700,147
2023-05-01,5150,5190,5070,5120,5120,626700,148
2023-05-02,5180,5220,5150,5180,5180,566500,149
2023-05-08,5330,5370,5210,5220,5220,1164700,150
2023-05-09,5230,5340,5230,5330,5330,1067200,151
2023-05-10,5380,5390,5240,5270,5270,1089300,152
2023-05-11,5130,5230,5030,5220,5220,2045700,153
2023-05-12,5290,5410,5270,5360,5360,1155700,154
2023-05-15,5290,5330,5170,5230,5230,1746100,155
2023-05-16,5290,5380,5260,5360,5360,957400,156
2023-05-17,5300,5370,5280,5350,5350,1084800,157
2023-05-18,5410,5480,5370,5440,5440,1087400,158
2023-05-19,5450,5590,5430,5590,5590,1450400,159
2023-05-22,5580,5630,5550,5620,5620,974300,160
2023-05-23,5650,5680,5580,5590,5590,948500,161
2023-05-24,5490,5610,5490,5580,5580,712000,162
2023-05-25,5530,5570,5410,5430,5430,871800,163
2023-05-26,5430,5510,5400,5470,5470,648600,164
2023-05-29,5520,5530,5400,5430,5430,559400,165
2023-05-30,5400,5420,5320,5380,5380,606100,166
2023-05-31,5390,5470,5360,5440,5440,1102700,167
2023-06-01,5490,5630,5470,5600,5600,927400,168
2023-06-02,5610,5770,5610,5710,5710,1074200,169
2023-06-05,5763,5800,5675,5796,5796,979700,170
2023-06-06,5784,5998,5693,5976,5976,1518400,171
2023-06-07,5976,6063,5814,5827,5827,1893300,172
2023-06-08,5627,5684,5454,5465,5465,2748000,173
2023-06-09,5545,5637,5512,5613,5613,1633700,174
2023-06-12,5697,5796,5631,5695,5695,1226000,175
2023-06-13,5614,5682,5552,5644,5644,1708200,176
2023-06-14,5654,5656,5484,5551,5551,1434900,177
2023-06-15,5550,5662,5527,5532,5532,1539600,178
2023-06-16,5597,5660,5471,5639,5639,2547900,179
2023-06-19,5640,5691,5581,5608,5608,923500,180
2023-06-20,5532,5561,5474,5537,5537,1034500,181
2023-06-21,5490,5631,5480,5578,5578,830800,182
2023-06-22,5525,5598,5518,5551,5551,765100,183
2023-06-23,5594,5594,5407,5449,5449,806300,184
2023-06-26,5431,5456,5356,5436,5436,674600,185
2023-06-27,5389,5521,5357,5497,5497,930800,186
2023-06-28,5517,5666,5510,5654,5654,873400,187
2023-06-29,5652,5715,5620,5655,5655,644100,188
2023-06-30,5672,5728,5630,5695,5695,997500,189
2023-07-03,5745,5781,5728,5745,5745,858700,190
2023-07-04,5717,5727,5662,5669,5669,599700,191
2023-07-05,5620,5719,5605,5707,5707,510200,192
2023-07-06,5648,5682,5623,5654,5654,526600,193
2023-07-07,5615,5712,5580,5592,5592,900400,194
2023-07-10,5598,5618,5535,5557,5557,701500,195
2023-07-11,5596,5644,5549,5571,5571,540800,196
2023-07-12,5566,5593,5512,5530,5530,461700,197
2023-07-13,5555,5641,5522,5641,5641,603400,198
2023-07-14,5642,5709,5610,5673,5673,542600,199
2023-07-18,5738,5765,5705,5759,5759,625700,200
2023-07-19,5797,5830,5760,5822,5822,711700,201
2023-07-20,5779,5791,5701,5732,5732,597800,202
2023-07-21,5668,5724,5633,5686,5686,569600,203
2023-07-24,5736,5784,5691,5784,5784,622700,204
2023-07-25,5689,5750,5638,5683,5683,985000,205
2023-07-26,5677,5759,5636,5664,5664,963800,206
2023-07-27,6080,6578,6070,6520,6520,7300000,207
2023-07-28,6320,6320,5982,6129,6129,5240800,208
2023-07-31,6201,6433,6153,6400,6400,2612300,209
2023-08-01,6390,6418,6269,6383,6383,1534000,210
2023-08-02,6297,6348,6182,6208,6208,1081400,211
2023-08-03,6183,6245,6135,6165,6165,1062300,212
2023-08-04,6145,6177,6012,6169,6169,765700,213
2023-08-07,6180,6223,6118,6206,6206,602400,214
2023-08-08,6258,6258,6159,6172,6172,552300,215
2023-08-09,6122,6180,6060,6060,6060,713600,216
2023-08-10,6050,6064,5975,6019,6019,995500,217
2023-08-14,6092,6107,5966,6006,6006,683400,218
2023-08-15,6098,6130,6057,6113,6113,507800,219
2023-08-16,6090,6103,6021,6042,6042,578400,220
2023-08-17,6009,6032,5924,5957,5957,576600,221
2023-08-18,5861,5878,5754,5794,5794,843300,222
2023-08-21,5817,5864,5773,5833,5833,814300,223
2023-08-22,6010,6032,5922,5961,5961,708900,224
2023-08-23,5990,6098,5976,6086,6086,705600,225
2023-08-24,6130,6138,6030,6035,6035,586600,226
2023-08-25,5910,5940,5880,5905,5905,698600,227
2023-08-28,5966,6022,5929,5999,5999,558000,228
2023-08-29,6014,6118,6001,6054,6054,796900,229
2023-08-30,6143,6222,6071,6094,6094,817200,230
2023-08-31,6149,6164,6061,6143,6143,914000,231
2023-09-01,6143,6275,6125,6228,6228,697500,232
2023-09-04,6235,6289,6191,6287,6287,673200,233
2023-09-05,6258,6307,6195,6222,6222,630400,234
